player_x,rock_x,rock_y,dx,rock_speed,action
0.128,0.37,0.8366666666666667,0.242,0.7,1
0.128,0.37,0.8483333333333334,0.242,0.7,1
0.128,0.37,0.86,0.242,0.7,1
0.128,0.37,0.8716666666666667,0.242,0.7,1
0.128,0.37,0.8833333333333333,0.242,0.7,1
0.128,0.37,0.895,0.242,0.7,1
0.128,0.37,0.9066666666666666,0.242,0.7,1
0.128,0.37,0.9183333333333333,0.242,0.7,1
0.128,0.37,0.93,0.242,0.7,1
0.128,0.37,0.9416666666666667,0.242,0.7,1
0.128,0.37,0.9533333333333334,0.242,0.7,1
0.128,0.37,0.965,0.242,0.7,1
0.128,0.37,0.9766666666666667,0.242,0.7,1
0.128,0.37,0.9883333333333333,0.242,0.7,1
0.128,0.37,1.0,0.242,0.7,1
0.128,0.37,1.0116666666666667,0.242,0.7,1
0.128,0.116,-0.03833333333333333,-0.012,0.7,1
0.128,0.116,-0.02666666666666667,-0.012,0.7,1
0.128,0.116,-0.015,-0.012,0.7,1
0.128,0.116,-0.0033333333333333335,-0.012,0.7,1
0.128,0.116,0.008333333333333333,-0.012,0.7,1
0.128,0.116,0.02,-0.012,0.7,1
0.14,0.116,0.03166666666666667,-0.024,0.7,2
0.152,0.116,0.043333333333333335,-0.036,0.7,2
0.164,0.116,0.055,-0.048,0.7,2
0.176,0.116,0.06666666666666667,-0.06,0.7,2
0.188,0.116,0.07833333333333334,-0.072,0.7,2
0.2,0.116,0.09,-0.084,0.7,2
0.212,0.116,0.10166666666666667,-0.096,0.7,2
0.224,0.116,0.11333333333333333,-0.108,0.7,2
0.236,0.116,0.125,-0.12,0.7,2
0.248,0.116,0.13666666666666666,-0.132,0.7,2
0.26,0.116,0.14833333333333334,-0.144,0.7,2
0.272,0.116,0.16,-0.156,0.7,2
0.284,0.116,0.17166666666666666,-0.168,0.7,2
0.296,0.116,0.18333333333333332,-0.18,0.7,2
0.308,0.116,0.195,-0.192,0.7,2
0.32,0.116,0.20666666666666667,-0.204,0.7,2
0.332,0.116,0.21833333333333332,-0.216,0.7,2
0.344,0.116,0.23,-0.228,0.7,2
0.356,0.116,0.24166666666666667,-0.24,0.7,2
0.368,0.116,0.25333333333333335,-0.252,0.7,2
