car_x,obstacle_x,obstacle_y,lane_delta,obstacle_speed,obstacle_type,action
0.268,0.5,0.8646153846153846,0.5,0.75,0,1
0.268,0.5,0.8784615384615385,0.5,0.75,0,1
0.268,0.5,0.8923076923076924,0.5,0.75,0,1
0.268,0.5,0.9061538461538462,0.5,0.75,0,1
0.268,0.5,0.92,0.5,0.75,0,1
0.268,0.5,0.9338461538461539,0.5,0.75,0,1
0.268,0.5,0.8892307692307693,0.5,0.5833333333333334,1,1
0.268,0.5,0.9,0.5,0.5833333333333334,1,1
0.268,0.5,0.9107692307692308,0.5,0.5833333333333334,1,1
0.268,0.5,0.9215384615384615,0.5,0.5833333333333334,1,1
0.268,0.5,0.9323076923076923,0.5,0.5833333333333334,1,1
0.268,0.26,-0.05076923076923077,0.0,0.5,0,1
0.268,0.26,-0.04153846153846154,0.0,0.5,0,1
0.268,0.26,-0.03230769230769231,0.0,0.5,0,1
0.268,0.26,-0.023076923076923078,0.0,0.5,0,1
0.268,0.26,-0.013846153846153847,0.0,0.5,0,1
0.268,0.26,-0.004615384615384616,0.0,0.5,0,1
0.282,0.26,0.004615384615384616,0.0,0.5,0,2
0.296,0.26,0.013846153846153847,0.0,0.5,0,2
0.31,0.26,0.023076923076923078,0.0,0.5,0,2
0.324,0.26,0.03230769230769231,0.0,0.5,0,2
0.338,0.26,0.04153846153846154,0.0,0.5,0,2
0.352,0.26,0.05076923076923077,0.0,0.5,0,2
0.366,0.26,0.06,0.0,0.5,0,2
0.38,0.26,0.06923076923076923,-0.5,0.5,0,2
0.394,0.26,0.07846153846153846,-0.5,0.5,0,2
0.408,0.26,0.0876923076923077,-0.5,0.5,0,2
0.422,0.26,0.09692307692307692,-0.5,0.5,0,2
0.436,0.26,0.10615384615384615,-0.5,0.5,0,2
0.45,0.26,0.11538461538461539,-0.5,0.5,0,2
0.464,0.26,0.12461538461538461,-0.5,0.5,0,2
0.478,0.26,0.13384615384615384,-0.5,0.5,0,2
0.492,0.26,0.14307692307692307,-0.5,0.5,0,2
0.506,0.26,0.1523076923076923,-0.5,0.5,0,2
0.52,0.26,0.16153846153846155,-0.5,0.5,0,2
0.534,0.26,0.17076923076923076,-0.5,0.5,0,2
0.548,0.26,0.18,-0.5,0.5,0,2
