model_type,feature_set,features,n_features_before_encoding,validation_size,architecture,hidden_layers,hidden_nodes,learning_rate,epochs,train_rows,validation_rows,test_rows,train_seconds,validation_r2,validation_mae,validation_rmse,test_r2,test_mae,test_rmse
NeuralNetwork_MLP,lr_basis,"Overall Qual, Gr Liv Area, Neighborhood",3,0.3,1x64,1,"(64,)",0.0003,800,1640,704,586,1.002265457995236,0.840285463619124,20099.092539277786,29279.060429329053,0.8827308603201235,20964.542146647713,30662.859426343904
NeuralNetwork_MLP,lr_basis,"Overall Qual, Gr Liv Area, Neighborhood",3,0.3,2x64_32,2,"(64, 32)",0.01,300,1640,704,586,0.27762429098947905,0.8120858736786635,21798.413672876733,31758.839757517628,0.8384988457924947,23115.566706861395,35983.93036836859
NeuralNetwork_MLP,lr_basis,"Overall Qual, Gr Liv Area, Neighborhood",3,0.3,2x64_32,2,"(64, 32)",0.01,800,1640,704,586,0.27245574998960365,0.8120858736786635,21798.413672876733,31758.839757517628,0.8384988457924947,23115.566706861395,35983.93036836859
NeuralNetwork_MLP,lr_basis,"Overall Qual, Gr Liv Area, Neighborhood",3,0.3,2x64_32,2,"(64, 32)",0.001,300,1640,704,586,0.5847937499929685,0.8289979284252044,20339.629103573046,30296.021425451432,0.8664370917095017,21635.433870480894,32723.798969717867
NeuralNetwork_MLP,lr_basis,"Overall Qual, Gr Liv Area, Neighborhood",3,0.3,2x64_32,2,"(64, 32)",0.001,800,1640,704,586,0.5831031659909058,0.8289979284252044,20339.629103573046,30296.021425451432,0.8664370917095017,21635.433870480894,32723.798969717867
NeuralNetwork_MLP,lr_basis,"Overall Qual, Gr Liv Area, Neighborhood",3,0.3,2x64_32,2,"(64, 32)",0.0003,300,1640,704,586,0.978929082994,0.8265805790484748,20549.544222454453,30509.40790116782,0.8774290451495922,21526.654647283758,31348.341350863768
NeuralNetwork_MLP,lr_basis,"Overall Qual, Gr Liv Area, Neighborhood",3,0.3,2x64_32,2,"(64, 32)",0.0003,800,1640,704,586,0.9828132500115316,0.8265805790484748,20549.544222454453,30509.40790116782,0.8774290451495922,21526.654647283758,31348.341350863768
NeuralNetwork_MLP,lr_basis,"Overall Qual, Gr Liv Area, Neighborhood",3,0.3,2x128_64,2,"(128, 64)",0.01,300,1640,704,586,0.2781645000068238,0.8106022905319681,21806.121494290852,31883.961398548494,0.8457935415827046,23568.055911255033,35161.87810137849
NeuralNetwork_MLP,lr_basis,"Overall Qual, Gr Liv Area, Neighborhood",3,0.3,2x128_64,2,"(128, 64)",0.01,800,1640,704,586,0.2772316670016153,0.8106022905319681,21806.121494290852,31883.961398548494,0.8457935415827046,23568.055911255033,35161.87810137849
NeuralNetwork_MLP,lr_basis,"Overall Qual, Gr Liv Area, Neighborhood",3,0.3,2x128_64,2,"(128, 64)",0.001,300,1640,704,586,0.7092799170059152,0.8156128028104045,21230.995656073872,31459.38981718028,0.8580859474790222,22448.034035044708,33731.3314020704
NeuralNetwork_MLP,lr_basis,"Overall Qual, Gr Liv Area, Neighborhood",3,0.3,2x128_64,2,"(128, 64)",0.001,800,1640,704,586,0.7063787499937462,0.8156128028104045,21230.995656073872,31459.38981718028,0.8580859474790222,22448.034035044708,33731.3314020704
NeuralNetwork_MLP,lr_basis,"Overall Qual, Gr Liv Area, Neighborhood",3,0.3,2x128_64,2,"(128, 64)",0.0003,300,1640,704,586,1.0529171249945648,0.8203124855824737,20761.075458832016,31055.88172468651,0.8822366269721166,21160.331199756354,30727.406134531193
NeuralNetwork_MLP,lr_basis,"Overall Qual, Gr Liv Area, Neighborhood",3,0.3,2x128_64,2,"(128, 64)",0.0003,800,1640,704,586,1.0879727080027806,0.8203124855824737,20761.075458832016,31055.88172468651,0.8822366269721166,21160.331199756354,30727.406134531193
NeuralNetwork_MLP,lr_basis,"Overall Qual, Gr Liv Area, Neighborhood",3,0.3,3x128_64_32,3,"(128, 64, 32)",0.01,300,1640,704,586,0.29415449999214616,0.8282572649972616,20359.541664969965,30361.561303434566,0.8686182433514278,21541.94059927713,32455.50078456326
NeuralNetwork_MLP,lr_basis,"Overall Qual, Gr Liv Area, Neighborhood",3,0.3,3x128_64_32,3,"(128, 64, 32)",0.01,800,1640,704,586,0.28956595799536444,0.8282572649972616,20359.541664969965,30361.561303434566,0.8686182433514278,21541.94059927713,32455.50078456326
NeuralNetwork_MLP,lr_basis,"Overall Qual, Gr Liv Area, Neighborhood",3,0.3,3x128_64_32,3,"(128, 64, 32)",0.001,300,1640,704,586,0.7890787499927683,0.8119595641541469,20967.750384438,31769.511573853848,0.8671880454755094,21694.63810574807,32631.674967700405
NeuralNetwork_MLP,lr_basis,"Overall Qual, Gr Liv Area, Neighborhood",3,0.3,3x128_64_32,3,"(128, 64, 32)",0.001,800,1640,704,586,0.7904710419970797,0.8119595641541469,20967.750384438,31769.511573853848,0.8671880454755094,21694.63810574807,32631.674967700405
NeuralNetwork_MLP,lr_basis,"Overall Qual, Gr Liv Area, Neighborhood",3,0.3,3x128_64_32,3,"(128, 64, 32)",0.0003,300,1640,704,586,0.9129046250018291,0.8100658938858193,21334.08826415866,31929.079045657876,0.8709676277555376,21669.643512326653,32164.005178284453
NeuralNetwork_MLP,lr_basis,"Overall Qual, Gr Liv Area, Neighborhood",3,0.3,3x128_64_32,3,"(128, 64, 32)",0.0003,800,1640,704,586,0.9177178339887178,0.8100658938858193,21334.08826415866,31929.079045657876,0.8709676277555376,21669.643512326653,32164.005178284453
NeuralNetwork_MLP,lr_uitgebreid,"Overall Qual, Gr Liv Area, Total Bsmt SF, Year Built, Neighborhood",5,0.15,1x32,1,"(32,)",0.01,300,1992,352,586,0.2162122079898836,0.8622940235281523,17705.31306865781,24765.041508483282,0.8667868317765874,18594.834720295883,32680.926566719132
NeuralNetwork_MLP,lr_uitgebreid,"Overall Qual, Gr Liv Area, Total Bsmt SF, Year Built, Neighborhood",5,0.15,1x32,1,"(32,)",0.01,800,1992,352,586,0.21421158300654497,0.8622940235281523,17705.31306865781,24765.041508483282,0.8667868317765874,18594.834720295883,32680.926566719132
NeuralNetwork_MLP,lr_uitgebreid,"Overall Qual, Gr Liv Area, Total Bsmt SF, Year Built, Neighborhood",5,0.15,1x32,1,"(32,)",0.001,300,1992,352,586,0.4459716249984922,0.8613031139440763,17386.267761698306,24853.984375850512,0.898682636094264,18469.889563019497,28501.17228023195
NeuralNetwork_MLP,lr_uitgebreid,"Overall Qual, Gr Liv Area, Total Bsmt SF, Year Built, Neighborhood",5,0.15,1x32,1,"(32,)",0.001,800,1992,352,586,0.442149790993426,0.8613031139440763,17386.267761698306,24853.984375850512,0.898682636094264,18469.889563019497,28501.17228023195
NeuralNetwork_MLP,lr_uitgebreid,"Overall Qual, Gr Liv Area, Total Bsmt SF, Year Built, Neighborhood",5,0.15,1x32,1,"(32,)",0.0003,300,1992,352,586,0.8021772500069346,0.8621089655103941,17428.350887244098,24781.676337708395,0.9006404642969154,18458.891979008287,28224.454642954963
